node_id,x,y,z,physical_group,physical_tag
8355,-9.166666666666668,-3.999999999998772,0.8333333333324879,NanoBridge,1
8356,-9.166666666666668,-3.99999999999877,1.666666666663958,NanoBridge,1
8357,-9.16666666666667,-3.99999999999877,2.499999999997089,NanoBridge,1
8358,-9.166666666666677,-3.999999999998767,3.333333333331397,NanoBridge,1
8359,-9.166666666666675,-3.999999999998768,4.166666666665704,NanoBridge,1
8360,-9.166666666666664,-2.999999999998471,0.833333333332561,NanoBridge,1
8361,-9.166666666666673,-2.99999999999884,1.666666666664193,NanoBridge,1
8362,-9.16666666666667,-2.999999999999208,2.499999999997343,NanoBridge,1
8363,-9.166666666666668,-2.999999999999577,3.333333333331563,NanoBridge,1
8364,-9.166666666666675,-2.999999999999943,4.166666666665785,NanoBridge,1
8365,-9.166666666666659,-1.999999999998473,0.833333333332634,NanoBridge,1
8366,-9.16666666666667,-1.999999999999336,1.666666666664428,NanoBridge,1
8367,-9.166666666666668,-2.000000000000196,2.499999999997594,NanoBridge,1
8368,-9.166666666666668,-2.000000000001057,3.333333333331734,NanoBridge,1
8369,-9.166666666666668,-2.000000000001918,4.16666666666587,NanoBridge,1
8370,-9.166666666666659,-0.9999999999984621,0.8333333333327068,NanoBridge,1
8371,-9.166666666666664,-0.9999999999998128,1.666666666664663,NanoBridge,1
8372,-9.166666666666668,-1.000000000001164,2.499999999997847,NanoBridge,1
8373,-9.166666666666664,-1.000000000002514,3.333333333331901,NanoBridge,1
8374,-9.166666666666668,-1.000000000003864,4.166666666665952,NanoBridge,1
8375,-9.16666666666667,2.731315174031579e-12,0.8333333333327799,NanoBridge,1
8376,-9.166666666666664,1.364908186474167e-12,1.666666666664898,NanoBridge,1
8377,-9.166666666666671,-6.661338147750939e-16,2.499999999998101,NanoBridge,1
8378,-9.166666666666671,-1.366018409498793e-12,3.33333333333207,NanoBridge,1
8379,-9.166666666666677,-2.73137068518281e-12,4.166666666666038,NanoBridge,1
8380,-9.166666666666664,1.000000000003864,0.8333333333328523,NanoBridge,1
8381,-9.16666666666667,1.000000000002514,1.666666666665133,NanoBridge,1
8382,-9.166666666666673,1.000000000001163,2.499999999998352,NanoBridge,1
8383,-9.166666666666671,0.9999999999998126,3.333333333332239,NanoBridge,1
8384,-9.166666666666675,0.9999999999984632,4.16666666666612,NanoBridge,1
8385,-9.166666666666666,2.000000000001916,0.8333333333329249,NanoBridge,1
8386,-9.166666666666668,2.000000000001056,1.666666666665367,NanoBridge,1
8387,-9.166666666666673,2.000000000000196,2.499999999998605,NanoBridge,1
8388,-9.166666666666671,1.999999999999336,3.333333333332406,NanoBridge,1
8389,-9.166666666666679,1.999999999998472,4.166666666666204,NanoBridge,1
8390,-9.166666666666664,2.999999999999943,0.8333333333329979,NanoBridge,1
8391,-9.166666666666668,2.999999999999575,1.666666666665604,NanoBridge,1
8392,-9.166666666666671,2.999999999999207,2.499999999998858,NanoBridge,1
8393,-9.166666666666668,2.99999999999884,3.333333333332572,NanoBridge,1
8394,-9.166666666666673,2.999999999998472,4.16666666666629,NanoBridge,1
8395,-9.166666666666666,3.999999999998769,0.8333333333330711,NanoBridge,1
8396,-9.166666666666664,3.999999999998769,1.666666666665837,NanoBridge,1
8397,-9.166666666666673,3.999999999998771,2.499999999999111,NanoBridge,1
8398,-9.166666666666671,3.999999999998773,3.333333333332743,NanoBridge,1
8399,-9.166666666666671,3.999999999998772,4.166666666666372,NanoBridge,1
8400,-8.333333333333334,-3.999999999998772,0.833333333332634,NanoBridge,1
8401,-8.333333333333341,-3.99999999999877,1.666666666664428,NanoBridge,1
8402,-8.333333333333341,-3.99999999999877,2.499999999997593,NanoBridge,1
8403,-8.33333333333334,-3.999999999998769,3.333333333331733,NanoBridge,1
8404,-8.33333333333334,-3.999999999998768,4.166666666665869,NanoBridge,1
8405,-8.33333333333333,-2.999999999998843,0.8333333333326702,NanoBridge,1
8406,-8.333333333333332,-2.999999999999026,1.666666666664546,NanoBridge,1
8407,-8.333333333333341,-2.999999999999211,2.499999999997721,NanoBridge,1
8408,-8.333333333333337,-2.999999999999394,3.333333333331817,NanoBridge,1
8409,-8.33333333333334,-2.999999999999576,4.16666666666591,NanoBridge,1
8410,-8.33333333333333,-1.999999999999334,0.8333333333327069,NanoBridge,1
8411,-8.33333333333333,-1.999999999999765,1.666666666664663,NanoBridge,1
8412,-8.33333333333334,-2.000000000000197,2.499999999997847,NanoBridge,1
8413,-8.33333333333334,-2.000000000000626,3.333333333331903,NanoBridge,1
8414,-8.33333333333334,-2.000000000001056,4.166666666665953,NanoBridge,1
8415,-8.33333333333333,-0.9999999999998126,0.8333333333327431,NanoBridge,1
8416,-8.33333333333333,-1.000000000000488,1.666666666664781,NanoBridge,1
8417,-8.333333333333337,-1.000000000001163,2.499999999997973,NanoBridge,1
8418,-8.333333333333329,-1.000000000001838,3.333333333331987,NanoBridge,1
8419,-8.33333333333334,-1.000000000002513,4.166666666665995,NanoBridge,1
8420,-8.333333333333337,1.365685342591405e-12,0.8333333333327799,NanoBridge,1
8421,-8.33333333333333,6.827871601444713e-13,1.666666666664898,NanoBridge,1
8422,-8.333333333333336,-3.33066907387547e-16,2.4999999999981,NanoBridge,1
8423,-8.333333333333336,-6.830092047493963e-13,3.33333333333207,NanoBridge,1
8424,-8.333333333333336,-1.365130231079092e-12,4.166666666666039,NanoBridge,1
8425,-8.333333333333337,1.000000000002514,0.8333333333328163,NanoBridge,1
8426,-8.333333333333329,1.000000000001838,1.666666666665015,NanoBridge,1
